review_comment_message,IDHM,customer_state,review_comment_message_english,IDHM_low
"Não testei o produto ainda, mas ele veio correto e em boas condições. Apenas a caixa que veio bem amassada e danificada, o que ficará chato, pois se trata de um presente.",0.783,SP,"I haven't tested the product yet, but it came correct and in good condition.Only the box that came well wrinkled and damaged, which will be boring, because it is a gift.",False
Muito bom o produto.,0.66,BA,Very good product.,True
O produto foi exatamente o que eu esperava e estava descrito no site e chegou bem antes da data prevista.,0.684,RN,The product was exactly what I expected and was described on the site and arrived well before the scheduled date.,True
fiquei triste por n ter me atendido.,0.746,RS,I was sad that I didn't answer me.,False
Aguardando retorno da loja,0.761,RJ,Awaiting return from the store,False
Gostei do produto,0.783,SP,I liked the product,False
Obrigado pela atenção. Lojas lannister perfeito em tudo.,0.735,GO,Thank you for your attention.Perfect Lannister Stores in Everything.,False
"os correios estäo em greve... näo recebi nenhum aviso de atraso, mas de qqer forma a empresa responsável deveria dar alguma resposta sobre o atraso.",0.783,SP,"The Post Office is on strike ... I have not received no warning of delay, but in order to form the company responsible should give some response to the delay.",False
Demora muito entregar. Já passou o prazo e ainda não recebi minha encomenda.,0.761,RJ,It takes a long time to deliver.The deadline has passed and has not received my order yet.,False
"Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj",0.66,BA,"So far I have not received the crib mattress protective product - waterproof cotton, I've made the complaint since 06/18 and has not yet gotten return.I will cancel the order and reversal the purchase hj",True
"Lindos. 
Acabamento incrivel, muiro macios e super em conta.",0.783,SP,"Beautiful.
Incredible finish, very soft and super into account.",False
O produto veio faltando a base para auto e como eu fiz o pedido por telefone justamente para confirmar se a base demonstrada pela foto acompanhava o produto e tbm constava na descrição do item.,0.783,SP,The product was missing the base for Auto and how I placed the order by phone precisely to confirm that the base demonstrated by the photo followed the product and was also in the description of the item.,False
"Foi entregue um produto divergente do que eu havia comprado, além de não vir com todos os acessórios constantes na descrição do anuncio. Solicito providências urgentes.",0.673,PE,"A product was delivered divergent than I had bought, and not coming with all the accessories in the description of the ad.I request urgent measures.",True
Ficou tudo ok só pensei q fosse maior mas.ta bom,0.761,RJ,Everything was ok just thought it was bigger but.,False
"há muito tempo efetuo compras atraves desta loja, nunca tive problemas. sempre entrega antes da data.",0.699,TO,"I have been shopping for a long time through this store, I never had problems.Always deliver before the date.",True
bom pode comprar,0.682,CE,Good can buy,True
"Produto veio bem lacrado, todo original.",0.673,PE,"Product came well sealed, all original.",True
Quero o cartão de crédito das Lojas lannister! Minha satisfação é Plena! ,0.761,RJ,I want the credit card of Lannister stores!My satisfaction is full!,False
A cuba veio quebrada. Como efetuo barroca?,0.761,RJ,The Cuba came broken.How do Baroque do?,False
